Arabic term,Meaning,Literal translation
البركة,"Enduring and fruitful good placed by Allah in a person, action, time, or possession. It is not luck and may appear as increase, benefit, or lasting value.",blessing
الرزق,"Whatever provision Allah apportions, including material resources, health, knowledge, opportunity, and spiritual benefit. It is broader than salary or income.",income
الحلال,"What is religiously lawful and released from prohibition. It is a legal-moral category, not merely food certification.",permitted
الحرام,"What Allah has decisively prohibited. It is a binding legal category, not a cultural dislike.",taboo
الشبهة,A resemblance or uncertainty that makes falsehood appear plausible or a ruling appear doubtful. It can refer to intellectual confusion or an ambiguous matter.,suspicion
الورع,Scrupulous restraint from doubtful or spiritually harmful matters. It is cautious moral self-protection beyond bare legality.,piety
السنة,"The Prophet's normative teaching, practice, and approved way; in other contexts, an established practice or recurring divine pattern. The intended sense must be determined from context.",tradition
البدعة,"A practice introduced into religion as worship without a valid basis. In this sermon context, it does not refer to every new tool, technology, or ordinary custom.",innovation
الفقه,"Deep understanding of religion and its practical implications. In technical usage, it especially refers to knowledge of Islamic legal rulings and their reasoning.",jurisprudence
الفتوى,"A qualified scholar's nonbinding legal answer to a religious question. It differs from a court judgment, which can be legally enforceable.",religious ruling
الشريعة,"The divinely revealed path encompassing faith, worship, ethics, and law. Reducing it to criminal penalties or court rules seriously narrows the concept.",islamic law
الاجتهاد,Disciplined reasoning by a qualified scholar to derive or apply a religious ruling. It is not unrestricted personal opinion.,independent legal reasoning
التقليد,"Following a qualified juristic authority without independently deriving the proof. It is technical reliance, not necessarily mindless copying.",imitation
الدليل,An indication or proof that guides to a conclusion. It may denote a recognized source or specific proof.,evidence
الحجة,"A decisive proof that establishes truth and responsibility. It denotes evidence that leaves no valid excuse, not rhetorical debate.",argument
البرهان,Clear demonstrative proof that decisively establishes a claim. It is stronger than a supporting reason; it implies manifest evidence.,proof
الوحي,"Divine communication conveyed to a prophet in the manner Allah chooses. It is authoritative revelation, not private intuition or creative inspiration.",inspiration
القرآن,"Allah's recited revelation given to Prophet Muhammad, whose wording and recitation are themselves sacred. It is a proper name, not simply ""a reading."".",the reading
الآية,"A sign that points beyond itself; depending on context, a verse of the Qur'an, a miracle, or a sign in creation.",verse
التفسير,"Disciplined explanation of revelation using language, context, transmitted reports, and principles. It is a scholarly method, not personal paraphrase.",commentary
التأويل,"A contextually justified interpretation, final outcome, or ultimate realization of a text or event. Classical usage is broader than free allegorical interpretation.",interpretation
التدبر,"Deep, consequence-aware reflection on revelation. The concept comes from considering what lies behind and follows a statement; it aims at guidance and action.",contemplation
الحكمة,"Right understanding joined to sound judgment and appropriate action. It can mean Prophetic teaching, revelation, or placing matters correctly.",wisdom
الموعظة,"A heart-directed admonition combining teaching, warning, encouragement, and compassionate counsel. Its aim is moral awakening, not information alone.",lecture
النصيحة,"Sincere concern for another's good expressed through truthful, wise counsel. It conveys loyal moral sincerity, not criticism for its own sake.",advice
الدعوة,"Inviting people to Allah with knowledge, wisdom, and suitable means. It is principled invitation, not coercion or publicity alone.",preaching
الإصلاح,"Restoring what has become corrupt to soundness and right relation. It can be personal, familial, social, or political and is bounded by justice.",reform
المعروف,"What revelation and sound custom recognize as right, fitting, and socially honourable. It is more than whatever is familiar.",the known
المنكر,What revelation and sound moral judgment recognize as wrong or unacceptable. It is not simply something unfamiliar.,evil
العدل,Giving each person or matter its due and judging without bias or excess. Justice does not always require identical treatment when relevant circumstances differ.,equality
القسط,"Manifest fairness that gives each party its due. It stresses enacted and measurable justice, especially in dealings and testimony.",balance
الظلم,"Violating a right or placing something outside its proper place, including wronging oneself through sin. It ranges from personal wrongdoing to systemic injustice.",oppression
الفسوق,"Defiant departure from obedience and moral bounds. It suggests knowingly breaking out of rightful obedience, not generic badness.",wickedness
النفاق,"Outwardly displaying faith while concealing unbelief, or behaving with traits associated with such duplicity. Sermons may use the word doctrinally or as a warning about hypocritical conduct.",hypocrisy
الكفر,"Rejecting, denying, or covering over divine truth. The word has theological and legal uses, and applying it to particular people requires context and care.",disbelief
الكبائر,"Major sins marked by severe warning, punishment, curse, or prescribed penalty. It is juristic-theological, not based on social perception.",big sins
الرياء,Performing worship or virtue to be seen and praised by people. Being visible is not itself showing off; the corrupting factor is the intention to gain admiration.,showing off
الكبر,Arrogance expressed by rejecting truth and looking down on people. It is distinct from healthy dignity or confidence.,pride
الحسد,Resenting another's blessing and wishing for its removal. It is specifically hostile toward another's good; lawful emulation differs.,jealousy
الغيبة,"Mentioning a person's real fault in their absence in a way they would dislike. If the claim is false, it becomes slander rather than backbiting.",backbiting
النميمة,"Carrying people's words between them to provoke conflict or damage relations. It is tale-bearing with corruptive effect, not all casual conversation.",gossip
الربا,A prohibited increase or exchange imbalance defined by Islamic commercial law. It includes many forms of interest but is a wider juristic category than the English word alone.,interest
الزكاة,"The obligatory, calculated share of qualifying wealth given to designated recipients. It is a legal right of recipients, not merely voluntary charity.",charity
الصدقة,"Giving for Allah's sake as an expression of sincere faith. It usually means voluntary charity, though some contexts also use it for obligatory zakat.",charity
الأمانة,"A trust or responsibility that must be faithfully protected and fulfilled. It includes entrusted property, duties, rights, and confidential information, not honesty alone.",honesty
العهد,"A binding pledge, entrusted obligation, or covenant. It can denote divine covenant, human commitment, or a duty whose breach is betrayal.",promise
الميثاق,"A solemn binding covenant, often witnessed before Allah. It is stronger than a contract; it carries sacred and moral accountability.",agreement
البر,"Comprehensive righteousness expressed through faith, worship, generosity, and good character. It is broader than a single charitable act.",goodness
صلة الرحم,"Maintaining kinship through contact, care, support, and reconciliation. The form varies with need and custom; it is broader than visits.",maintaining family ties
بر الوالدين,"Comprehensive goodness, reverence, service, and gentle speech toward parents. It remains required within lawful limits even when parent and child disagree.",obeying parents
الأمة,"A community united by a shared faith, purpose, or messenger; in sermons, usually the worldwide Muslim community. It is not identical to a nation-state or ethnicity.",nation
الجماعة,"The united Muslim community or a body gathered around legitimate guidance. The word can also simply mean a group, so theological claims depend on context.",group
الأخوة,"A bond of mutual loyalty, dignity, and responsibility grounded in faith or humanity. Ukhuwwah entails rights and duties, not emotional closeness alone.",brotherhood
الشورى,The Islamic principle of consulting relevant people before making a responsible decision. It is not identical to a single modern political system or to majority voting in every matter.,democracy
الموت,"The appointed end of earthly life and transition to the next stage of existence. In Islamic preaching, death is not annihilation but movement toward accountability.",death
الآخرة,"The final and everlasting realm after worldly life, including resurrection, judgment, and recompense. It is the setting in which earthly choices reach their ultimate outcome.",the end; afterlife
القيامة,"The resurrection and great standing of creation before Allah for judgment. The word emphasizes rising and standing, not only the destruction of the world.",doomsday
الحساب,"Allah's reckoning of beliefs, intentions, words, and deeds. It is moral accounting, not arithmetic alone.",calculation
الميزان,"The divinely just weighing of deeds, records, or people on the Day of Judgment. It expresses exact accountability and is treated in sermons as an eschatological reality.",balance
الصراط,"The straight path of guidance, and in eschatological contexts the crossing over Hell toward Paradise. The intended meaning depends on the passage.",road
الشفاعة,Intercession granted only by Allah's permission and approval. It is not an automatic spiritual privilege or a means of overriding divine judgment.,mediation
الجنة,"The divinely prepared everlasting abode of nearness, safety, and reward. It is Paradise; the root image of a concealed garden does not exhaust the concept.",garden
النار,"The divinely created abode or punishment of the condemned. It means Hell, not every physical flame.",fire
الفلاح,"Comprehensive success: attaining lasting good and escaping ultimate harm. It is salvation-flourishing, not worldly achievement alone.",success
الخسران,"Ultimate and irrecoverable loss of oneself, one's deeds, or salvation. It is much broader than financial loss.",loss
التوفيق,"Allah's enabling a person to choose, pursue, and accomplish what is right. It joins sound intention, ability, and successful action.",success
الرشاد,"Soundly directed judgment and conduct leading to a good end. It combines intellectual rightness, maturity, and practical direction.",guidance
الزهد,Detachment of the heart from excessive attachment to worldly things in favour of the Hereafter. It does not require poverty or abandoning lawful possessions.,asceticism
القناعة,"Contentment with what suffices, without greedy fixation on more. It is freedom from acquisitive restlessness, not lack of ambition.",satisfaction
الإيثار,"Preferring another's legitimate need over one's own despite personal need. It is self-giving rooted in faith, not indiscriminate self-neglect.",altruism
حسن الخلق,"Beautiful moral character in one's habitual dealings. It includes patience, justice, mercy, and restraint, not etiquette alone.",good manners
التواضع,Humility that gives others their due without arrogance or self-abasement. It preserves dignity while rejecting claims of superiority.,self-abasement
الحياء,Moral modesty and sensitivity that restrain shameful conduct. It is not social fear or an inability to speak confidently.,shyness
الرَّبّ,"The Lord who creates, owns, sustains, governs, and nurtures creation. The word conveys comprehensive divine care and authority, not merely the social title ""master."".",lord
الإله,"The being who is worshipped; in Islamic creed, Allah alone is rightfully worshipped. The concept concerns entitlement to worship, not power alone.",god
الألوهية,Exclusive divine right to worship. It is a creed term denoting that all worship belongs to Allah alone.,divinity
الربوبية,"Allah's unique lordship over creation. It includes creating, owning, sustaining, decreeing, and governing all things.",lordship
الرحمن,"A divine name expressing vast, all-encompassing mercy. Its intensive form conveys the abundance and breadth of Allah's mercy.",the compassionate
الرحيم,A divine name expressing continuing and specially bestowed mercy. It conveys enduring mercy rather than an ordinary kindly disposition.,the merciful
الغفور,The Oft-Forgiving who repeatedly covers and pardons sin. It stresses abundance and recurrence of forgiveness.,forgiving
الغفار,The Constantly and Abundantly Forgiving. It is stronger than a one-time act of pardon; it conveys repeated forgiveness.,forgiver
العفوّ,"The divine name of the One who pardons and effaces sin. It can imply removal of blame and its trace, beyond withholding punishment.",the pardoning
التواب,"The One who repeatedly turns to servants in mercy and accepts repentance. It means enabling and accepting repentance, not repenting Himself.",the relenting
الرؤوف,The divine name expressing especially tender and gentle mercy that relieves suffering.,kind
الودود,"The Loving and Beloved, whose love is active and beneficent. It is not sentiment alone but favour, nearness, and benevolence.",friendly
اللطيف,The Subtly Kind and perfectly aware of hidden details. It combines subtle knowledge with unobtrusive kindness and providence.,gentle
الخبير,The One fully acquainted with inner realities and outcomes. It is not merely possessing information; it implies penetrating knowledge of what is hidden.,informed
العليم,"The All-Knowing without limit or acquisition. It denotes complete, timeless, and unfailing knowledge.",knowledgeable
الحكيم,"The Perfectly Wise who places everything appropriately. It includes perfect judgment, purpose, and right placement, not cleverness alone.",wise
الحليم,"The Forbearing who does not hasten punishment despite power. It is deliberate restraint, not inability or passivity.",patient
الكريم,"The divine name expressing supreme generosity, nobility, honour, and graciousness.",generous
الأكرم,The Most Generous and Most Noble. It carries both munificence and incomparable nobility.,most generous
الوهاب,"The Unceasing Bestower of gifts without compensation. It stresses free, repeated, undeserved bestowal.",giver
الرزاق,"The Constant Provider who creates and delivers all provision. It includes material, spiritual, lawful, and inward sustenance.",provider
الفتاح,"The divine name meaning the Opener who grants relief, opens paths of mercy or victory, and judges decisively between parties. The intended emphasis depends on context.",opener
النصير,"The perfectly effective Helper who protects, supports, and grants victory.",supporter
الولي,"The Protecting Patron and Ally who is near to His servants. The word can combine protection, authority, loyalty, and closeness, so ""friend"" is too weak.",friend
المولى,"The Patron, Master, Protector, or Ally. It is a relational term whose exact English rendering depends on who is speaking and the surrounding context.",master
الوكيل,"The fully sufficient Trustee upon whom all affairs may be entrusted. In contexts of reliance on Allah, it means the One who manages matters perfectly.",agent
الحفيظ,"The Perfect Preserver and Watchful Guardian. It includes guarding, preserving, recording, and preventing loss.",keeper
الرقيب,"The Ever-Watchful Observer from whom nothing is absent. It conveys continuous, morally consequential oversight, not surveillance alone.",watcher
الحسيب,The One who is fully sufficient for His servants and who reckons all deeds exactly. Both meanings are used in religious language.,accountant
الشهيد,"The ever-present Witness whose knowledge misses nothing. As a divine name, it does not mean a person killed as a martyr.",martyr
المقيت,"The Sustainer who apportions nourishment and preserves creation, with complete power over it. The word has a wider sense than ""feeder."".",feeder
القادر,"The One whose power and ability are complete and unrestricted. Divine power is fully effective, not merely potential.",capable
القدير,The All-Powerful who determines and effects all things. It is an intensive divine attribute of comprehensive power.,powerful
المقتدر,The Supremely Powerful whose power is manifest and irresistible. It emphasizes exercised and overwhelming power.,almighty
القوي,"The Perfectly Strong, untouched by weakness. It is absolute and not bodily.",strong
المتين,"The Firm and Unfailing in strength. It conveys unbreakable, inexhaustible power rather than physical hardness.",solid
الجبار,"The Irresistible One whose authority cannot be overcome and who restores what is broken. As a divine name, it does not mean an unjust tyrant.",tyrant
المتكبر,"The Supremely Great, exalted above every defect and rival. Arrogant pride is blameworthy in creatures, whereas this divine name expresses rightful greatness and transcendence.",arrogant
الكبير,"The Incomparably Great in essence, rank, and authority. It does not refer to physical size; it denotes absolute greatness.",big
العظيم,"The Tremendously Magnificent and worthy of awe. It carries a stronger sacred sense than the ordinary word ""great."".",great
العلي,"The Most High in rank, authority, and transcendence. It does not refer only to spatial height; it denotes exaltedness above all imperfection.",high
المتعال,The Supremely Exalted above all limitation and false attribution. An intensive expression of transcendence.,elevated
القدوس,"The Absolutely Pure and Holy, exalted above every defect and creaturely limitation. ""Holy"" is only an approximate English equivalent.",holy
السلام,"The One free from every defect and the source of safety and peace. As a divine name, it means more than tranquillity.",peace
المؤمن,"The Giver of security and the One who confirms truth. As a divine name, it does not mean ""a believer."".",believer
المهيمن,"The Supreme Overseer, Guardian, and Witness whose authority and knowledge encompass all things.",controller
الواحد,The One without partner in divinity. It is not merely numerical oneness; it denies any partner or division in worship and lordship.,one
الأحد,"The Uniquely One, indivisible and without equal. In creed, it expresses absolute uniqueness rather than numerical oneness alone.",one
الصمد,The Self-Sufficient Master upon whom all creation depends. No single English word fully captures both perfect independence and universal dependence upon Him.,eternal
العقيدة,"A firmly held conviction concerning matters of faith. The word comes from the idea of binding or tying, suggesting a settled belief rather than a casual opinion.",creed
الملة,"A divinely grounded religious way or confessional tradition. It denotes the inherited or followed way of faith, especially the creed of Abraham.",religion
الذمة,"A binding responsibility, legal liability, or protected covenantal status. The exact sense can be obligation, protection, or guarantee depending on context.",conscience
الولاء,"Faithful allegiance, protective loyalty, and committed solidarity. Its theological and communal sense is stronger and more relational than preference.",loyalty
البراء,Disavowal of false worship and principled separation from wrongdoing. It does not simply mean personal innocence.,innocence
الردة,"Deliberate renunciation of Islam after professing it. A technical legal-theological term, not every doubt or sinful act.",apostasy
الزندقة,Concealed heterodoxy or unbelief presented outwardly as Islam. Historically the label has been used in different ways and should not be treated as a precise name for every doctrinal error.,heresy
الإلحاد,"Deviation from truth, especially denial of God or distortion of His signs. Qur'anic and classical usage is broader than modern atheism.",atheism
الفرقة,"Division into a distinct faction, often through doctrinal or communal rupture. It can mean mere group, separation, or blameworthy factionalism according to context.",sect
الغيّ,"Perverse misdirection chosen in opposition to sound guidance. It implies morally blameworthy deviation, not innocent confusion.",error
الطاغوت,"Anything worshipped, obeyed, or followed in rebellion against Allah's authority and limits. It can refer to a false deity, satanic authority, tyrannical power, or a claimant to divine rights.",idol
الجبْت,"A broad Qur'anic term for false objects of worship, superstition, sorcery, or other forms of religious falsehood. Its exact referent depends on context.",idol
الأنداد,"Rivals set up as equals or counterparts to Allah. It stresses treating created things as peers in love, obedience, or worship.",partners
الشفعاء,"Intercessors whose mediation is sought or granted. Intercession in Islamic theology is dependent on Allah's permission, not independent influence.",advocates
الإرادة,"Will or intention. In theology, divine will may refer either to what Allah commands and loves or to what He allows to occur in creation.",desire
الخلق,"Bringing into existence according to measure; also the created order. It can denote the act of creating, created beings, or innate constitution.",creation
الكسب,Human acquisition of deeds and their moral responsibility. It describes accountable human action under divine creation and decree.,earning
الاستطاعة,"The capacity and means by which a person is able and accountable. It is a technical term in debates about responsibility, power, and action.",ability
التكليف,"Being charged by divine law with accountable duties. It signifies morally binding religious responsibility, not merely a task.",assignment
علم اليقين,"Certainty reached through reliable knowledge, evidence, or report. It is the first of three Qur'anic expressions describing degrees or modes of certainty.",certain knowledge
عين اليقين,"Certainty comparable to direct seeing. It describes immediate experiential confirmation, not a literal ""eye"" belonging to certainty.",eye of certainty
حق اليقين,Certainty fully realized through direct encounter with reality. It is the most complete expression in the Qur'anic sequence of certainty.,truth of certainty
الشهادة,"Testimony or witnessing; it can also mean the visible, perceptible realm. Context may refer to legal evidence, the confession of faith, martyrdom, or the world of direct perception.",martyrdom
التنزيه,"Declaring Allah free of every defect and creaturely limitation. It is a theological act of transcendence, not praise in general.",glorification
التشبيه,"Likening divine attributes to created qualities. It denotes anthropomorphic assimilation, not every analogy.",comparison
التعطيل,"Denying, emptying, or suspending the meanings of divine attributes. A technical theological term, not ordinary interruption.",disablement
التنزيل,The sending down of revelation in stages and with divine authority. It highlights descent from Allah and often gradual delivery.,revelation
الكتاب,"The divinely prescribed Scripture or authoritative written decree. It may mean the Quran, a prior scripture, a record, or a decree.",book
الفرقان,The divine criterion that separates truth from falsehood. It can name the Qur'an or any decisive divine distinction.,discrimination
الهدى,"Guidance that directs toward truth and a sound end. It refers to revelation or divine enabling, not information alone.",directions
النور,"Divine illumination that makes truth spiritually perceptible. It usually metaphorical and revelatory, not physical light.",light
البصائر,"Clear proofs or insights that illuminate spiritual and moral truth. The plural refers to inward perception and evidence, not physical eyesight.",eyesights
البيان,Clear exposition that makes meaning distinct. In Qur'anic rhetoric it implies clarification and eloquent disclosure.,statement
التبيان,Comprehensive clarification and exposition. It is an intensive form suggesting fullness of clarification.,explanation
السورة,"A distinct Qur'anic chapter of elevated, enclosed composition. It is a sacred textual unit, not merely a book chapter.",chapter
المحكم,"A text whose meaning or ruling is firmly established and relatively clear. In Qur'anic studies, definitions vary according to the way it is contrasted with mutashabih.",precise
المتشابه,"A text whose exact meaning, application, or ultimate referent is not immediately decisive. It may require interpretation or humble suspension of judgment and is not necessarily contradictory.",ambiguous
الناسخ,"A later ruling or text that replaces the operative legal ruling of an earlier one. The concept concerns legal effect, not denial of the earlier revelation.",abrogating
المنسوخ,A ruling whose operative legal force has been replaced by a later ruling. The earlier verse or report remains part of revelation or transmission even when its ruling no longer applies.,cancelled
التلاوة,"Ordered recitation, especially of revelation, with an older root sense of following. It implies more than vocal reading and can suggest following what is recited.",reading
الترتيل,"Measured, clear, and deliberate recitation of the Qur'an. It emphasizes correct articulation, pacing, and reflection rather than musical performance.",chanting
التجويد,"Reciting the Qur'an while giving each letter and recitation rule its proper pronunciation. It concerns disciplined phonetic accuracy, not ornamentation alone.",embellishment
القراءة,"The act of reading or reciting; in Qur'anic studies, a formally transmitted canonical mode of recitation.",reading
الأحرف,"In the expression ""seven ahruf,"" a technical term for divinely permitted modes of early Qur'anic recitation. Scholars differ about their precise nature, but the word does not mean seven alphabet letters or the seven canonical readings.",letters
الرسم,"The inherited consonantal spelling and written form of the Qur'anic codex. It is a technical term for orthography, not drawing.",drawing
المصحف,"A physical written codex containing the Qur'anic text. It is the written copy, whereas the Qur'an is the revealed recitation and message.",quran
الإسناد,"The chain through which a report or recitation is attributed to its source. It is a formal transmission chain, not ""support"" in the general sense.",support
الرواية,"A transmitted report, narration, or version received through a chain. In Qur'anic recitation, it can mean a formally transmitted recension associated with a reader.",story
الدراية,"Critical understanding of meaning, method, and content. It is often contrasted with mere transmission because it requires analytical comprehension.",knowledge
العلم,"Knowledge based on sound evidence and understanding. In religious sermons, it often refers to sacred or beneficial knowledge rather than modern science specifically.",science
التذكرة,A reminder that restores awareness of a truth already known or naturally recognizable. It carries the sense of moral recollection and warning.,memo
الذكرى,"Beneficial recollection or a reminder that awakens the heart. It usually refers to the effect of being reminded, not autobiographical memory.",memory
العبرة,A moral lesson drawn by moving from an event or sign to its deeper meaning. It is more than an example.,example
الاعتبار,"Reflective inference that draws a lesson from signs, history, or outcomes. It is not mere attention; it involves moral and analogical reasoning.",consideration
البصيرة,"Inner clarity that perceives truth and guides action. It is spiritually and intellectually informed perception, not intuition alone.",insight
الفراسة,"Discernment that reads outward signs with trained inward perception. In ethical discourse, it is perceptiveness rather than fortune-telling or certainty about the unseen.",guesswork
الفهم,"Accurate apprehension of intended meaning. In sacred learning it includes context, implication, and proper application.",understanding
الحفظ,"Preservation in memory and faithful safeguarding. It can mean memorizing, protecting the text, or retaining knowledge through practice.",memorization
التثبت,"Careful verification before accepting or acting on information. It means checking truth and avoiding haste, especially regarding reports.",steadiness
التبين,"Seeking and attaining clarity through verification. In a command, it means to investigate carefully rather than merely notice.",becoming clear
التحري,Conscientious seeking of what is most correct and truthful. It includes moral scrupulousness and careful choice.,investigation
الإفتاء,Issuing a reasoned religious legal answer to a particular question. It is nonjudicial guidance based on recognized legal method.,giving an opinion
المفتي,"A qualified scholar authorized to issue legal responses. It requires juristic competence, not merely religious status.",cleric
الاتباع,"Following guidance with awareness of its basis and direction. It is often praised as adherence to revelation, in contrast with blind imitation.",following
الأثر,"A transmitted report or remaining trace, often from early authorities. In hadith discourse it may refer to a report from a Companion or predecessor.",effect
النقل,Authoritative transmission of text or report. It contrasts with pure reasoning and refers to transmitted evidence.,transport
العقل,The faculty of understanding and moral restraint. Classical usage connects sound reasoning with the ability to restrain oneself from error.,mind
النظر,Disciplined examination leading toward knowledge. In theology and legal theory it means reasoned consideration.,looking
الاستدلال,"Reasoning from evidence to a warranted conclusion. A technical scholarly process, not rhetorical persuasion.",inference
الشهوة,"A strong appetite or desire that may draw a person beyond lawful limits. It includes desire for food, status, wealth, and sex, not sexual desire alone.",lust
المصدِّق,"A person who sincerely affirms and confirms the truth. In faith contexts, the word suggests inward acceptance that leads to truthful response.",confirmer
المسلم,One who submits to Allah and enters the community of Islam. It is active surrender and obedience.,Muslim
المحسن,"One who acts with excellence and worships with heightened awareness of Allah. It denotes sustained spiritual-moral excellence, not isolated kindness.",do-gooder
المتقّي,"A person who protects themselves from Allah's displeasure through vigilant obedience and avoidance of sin. ""Pious"" is only a partial equivalent.",pious person
المخلص,"One who purifies intention and devotion exclusively for Allah. It carries exclusivity of worship, not honesty alone.",sincere
الصديق,"A person of exceptional truthfulness whose faith fully confirms divine truth. In sacred usage, it denotes a high spiritual rank, not an ordinary friend.",friend
الرباني,"A God-oriented scholar and educator who combines knowledge, wisdom, and gradual spiritual formation of others.",divine person
الصالح,"One whose faith, character, and conduct are sound and reforming. It includes being rightly ordered and beneficial, not merely pleasant.",good person
الفاسق,One who defiantly departs from obedience or moral bounds. It can be legal or moral; it should not be casually over-applied.,wicked person
الظالم,"A person who violates rights or places worship, conduct, or judgment outside its proper place. The word includes wronging oneself and associating partners with Allah, not only political oppression.",oppressor
المنافق,A person who outwardly professes faith while concealing unbelief; sermon language may also warn about hypocritical traits. The doctrinal label should not be casually applied to particular individuals.,hypocrite
الكافر,A person described in theology as rejecting or concealing divine truth. The legal and doctrinal label is context-sensitive and should not be used as a loose insult or automatic synonym for every non-Muslim.,unbeliever
المشرك,"A person who assigns a partner or rival to Allah in worship or divine rights. This includes devotional association, not only belief in many gods.",polytheist
المرتد,A person who deliberately renounces Islam after professing it. It is a technical legal status with conditions and is not established by mere doubt or sin.,apostate
الملحد,"A person who denies God or deviates from divine truth. Classical usage can be broader than the modern word ""atheist."".",atheist
الضال,"One who has lost or departed from right guidance. It may describe culpable deviation, confusion, or lack of guidance according to context.",lost
الغافل,"A person heedless of Allah, accountability, or moral signs. The word describes spiritual unawareness, not ordinary absent-mindedness.",careless
