Arabic term,Meaning,Literal translation,Arabic variations + translation,Alternative context meaning(s)
التوفيق,"Allah's enabling a person to choose, pursue, and accomplish what is right. It joins sound intention, ability, and successful action.",success,وَفَّقَ (verb) — enable; grant success | مُوَفَّق (adjective) — successful; well-guided,
الرشاد,"Soundly directed judgment and conduct leading to a good end. It combines intellectual rightness, maturity, and practical direction.",guidance,رَشَدَ (verb) — be rightly guided; mature | رَاشِد (adjective) — mature; rightly guided,Legal context: maturity and sound judgment sufficient to manage property.
الزهد,Detachment of the heart from excessive attachment to worldly things in favour of the Hereafter. It does not require poverty or abandoning lawful possessions.,asceticism,زَهِدَ فِي (verb) — abstain from; be detached from | زَاهِد (noun/adjective) — ascetic; detached,
الرَّبّ,"The Lord who creates, owns, sustains, governs, and nurtures creation. The word conveys comprehensive divine care and authority, not merely the social title ""master."".",lord,,
الإله,"The being who is worshipped; in Islamic creed, Allah alone is rightfully worshipped. The concept concerns entitlement to worship, not power alone.",god,,
الألوهية,Exclusive divine right to worship. It is a creed term denoting that all worship belongs to Allah alone.,divinity,,
الربوبية,"Allah's unique lordship over creation. It includes creating, owning, sustaining, decreeing, and governing all things.",lordship,,
الرحمن,"A divine name expressing vast, all-encompassing mercy. Its intensive form conveys the abundance and breadth of Allah's mercy.",the compassionate,,
الرحيم,A divine name expressing continuing and specially bestowed mercy. It conveys enduring mercy rather than an ordinary kindly disposition.,the merciful,رَحِمَ (verb) — have mercy; show compassion,
الغفور,The Oft-Forgiving who repeatedly covers and pardons sin. It stresses abundance and recurrence of forgiveness.,forgiving,غَفَرَ (verb) — forgive; pardon | غَافِر (active participle) — forgiver; forgiving,
الغفار,The Constantly and Abundantly Forgiving. It is stronger than a one-time act of pardon; it conveys repeated forgiveness.,forgiver,غَفَرَ (verb) — forgive; pardon | غَافِر (active participle) — forgiver; forgiving,
العفوّ,"The divine name of the One who pardons and effaces sin. It can imply removal of blame and its trace, beyond withholding punishment.",the pardoning,عَفَا عَنْ (verb) — pardon; forgive,
التواب,"The One who repeatedly turns to servants in mercy and accepts repentance. It means enabling and accepting repentance, not repenting Himself.",the relenting,,
الرؤوف,The divine name expressing especially tender and gentle mercy that relieves suffering.,kind,رَأَفَ بِـ (verb) — show compassion; have pity,
الودود,"The Loving and Beloved, whose love is active and beneficent. It is not sentiment alone but favour, nearness, and benevolence.",friendly,وَدَّ (verb) — love; wish,
اللطيف,The Subtly Kind and perfectly aware of hidden details. It combines subtle knowledge with unobtrusive kindness and providence.,gentle,لَطُفَ (verb) — be gentle; be subtle,
الخبير,The One fully acquainted with inner realities and outcomes. It is not merely possessing information; it implies penetrating knowledge of what is hidden.,informed,خَبِرَ (verb) — know by experience; be informed,
العليم,"The All-Knowing without limit or acquisition. It denotes complete, timeless, and unfailing knowledge.",knowledgeable,عَلِمَ (verb) — know; learn | عَالِم (noun/adjective) — scholar; knowledgeable,
الحكيم,"The Perfectly Wise who places everything appropriately. It includes perfect judgment, purpose, and right placement, not cleverness alone.",wise,,
الحليم,"The Forbearing who does not hasten punishment despite power. It is deliberate restraint, not inability or passivity.",patient,حَلُمَ (verb) — be forbearing; be mild,
الكريم,"The divine name expressing supreme generosity, nobility, honour, and graciousness.",generous,كَرُمَ (verb) — be noble; be generous,
الأكرم,The Most Generous and Most Noble. It carries both munificence and incomparable nobility.,most generous,كَرُمَ (verb) — be noble; be generous | كَرِيم (adjective) — noble; generous,
الوهاب,"The Unceasing Bestower of gifts without compensation. It stresses free, repeated, undeserved bestowal.",giver,وَهَبَ (verb) — give; grant | هِبَة (noun) — gift; grant,
الرزاق,"The Constant Provider who creates and delivers all provision. It includes material, spiritual, lawful, and inward sustenance.",provider,رَزَقَ (verb) — provide; sustain | رَازِق (active participle) — provider; sustainer,
الفتاح,"The divine name meaning the Opener who grants relief, opens paths of mercy or victory, and judges decisively between parties. The intended emphasis depends on context.",opener,فَتَحَ (verb) — open; grant victory | فَاتِح (active participle) — opener; conqueror,
النصير,"The perfectly effective Helper who protects, supports, and grants victory.",supporter,نَصَرَ (verb) — help; grant victory | نَاصِر (noun) — helper; supporter,
الولي,"The Protecting Patron and Ally who is near to His servants. The word can combine protection, authority, loyalty, and closeness, so ""friend"" is too weak.",friend,وَلِيَ (verb) — be near; take charge | أَوْلِيَاء (plural) — allies; guardians,Family/legal context: guardian; person with legal authority.
المولى,"The Patron, Master, Protector, or Ally. It is a relational term whose exact English rendering depends on who is speaking and the surrounding context.",master,مَوَالٍ (plural) — patrons; clients,Historical social context: client/freedman; patron.
الوكيل,"The fully sufficient Trustee upon whom all affairs may be entrusted. In contexts of reliance on Allah, it means the One who manages matters perfectly.",agent,وَكَلَ (verb) — entrust; appoint,
الحفيظ,"The Perfect Preserver and Watchful Guardian. It includes guarding, preserving, recording, and preventing loss.",keeper,حَفِظَ (verb) — preserve; protect | حَافِظ (active participle) — guardian; memorizer,
الرقيب,"The Ever-Watchful Observer from whom nothing is absent. It conveys continuous, morally consequential oversight, not surveillance alone.",watcher,رَقَبَ (verb) — watch; observe,
الحسيب,The One who is fully sufficient for His servants and who reckons all deeds exactly. Both meanings are used in religious language.,accountant,,Social/classical context: person of noble lineage; person of standing.
الشهيد,"The ever-present Witness whose knowledge misses nothing. As a divine name, it does not mean a person killed as a martyr.",martyr,شَهِدَ (verb) — witness; testify | شَاهِد (noun) — witness; observer,
المقيت,"The Sustainer who apportions nourishment and preserves creation, with complete power over it. The word has a wider sense than ""feeder."".",feeder,,
القادر,"The One whose power and ability are complete and unrestricted. Divine power is fully effective, not merely potential.",capable,قَدَرَ عَلَى (verb) — be able; have power | قَادِر (adjective) — capable; powerful,
القدير,The All-Powerful who determines and effects all things. It is an intensive divine attribute of comprehensive power.,powerful,قَدَرَ عَلَى (verb) — be able; have power | قَادِر (adjective) — capable; powerful,
المقتدر,The Supremely Powerful whose power is manifest and irresistible. It emphasizes exercised and overwhelming power.,almighty,اِقْتَدَرَ عَلَى (verb) — have power; be capable,
القوي,"The Perfectly Strong, untouched by weakness. It is absolute and not bodily.",strong,قَوِيَ (verb) — be strong; grow strong,
المتين,"The Firm and Unfailing in strength. It conveys unbreakable, inexhaustible power rather than physical hardness.",solid,,
الجبار,"The Irresistible One whose authority cannot be overcome and who restores what is broken. As a divine name, it does not mean an unjust tyrant.",tyrant,جَبَرَ (verb) — mend; compel | جَابِر (active participle) — one who mends; consoler,
المتكبر,"The Supremely Great, exalted above every defect and rival. Arrogant pride is blameworthy in creatures, whereas this divine name expresses rightful greatness and transcendence.",arrogant,تَكَبَّرَ (verb) — act arrogantly; exalt oneself,
الكبير,"The Incomparably Great in essence, rank, and authority. It does not refer to physical size; it denotes absolute greatness.",big,كَبُرَ (verb) — be great; grow large,
العظيم,"The Tremendously Magnificent and worthy of awe. It carries a stronger sacred sense than the ordinary word ""great."".",great,عَظُمَ (verb) — be great; be immense,
العلي,"The Most High in rank, authority, and transcendence. It does not refer only to spatial height; it denotes exaltedness above all imperfection.",high,عَلَا (verb) — rise; be exalted | عَالٍ (adjective) — high; elevated,
المتعال,The Supremely Exalted above all limitation and false attribution. An intensive expression of transcendence.,elevated,تَعَالَى (verb) — be exalted; rise above | مُتَعَالٍ (adjective) — exalted; lofty,
القدوس,"The Absolutely Pure and Holy, exalted above every defect and creaturely limitation. ""Holy"" is only an approximate English equivalent.",holy,قُدْس (noun) — holiness; sanctity | مُقَدَّس (adjective) — holy; sacred,
السلام,"The One free from every defect and the source of safety and peace. As a divine name, it means more than tranquillity.",peace,سَلِمَ (verb) — be safe; be sound,Everyday usage: greeting of peace; salutation.
المؤمن,"The Giver of security and the One who confirms truth. As a divine name, it does not mean ""a believer."".",believer,أَمِنَ (verb) — be safe; feel secure | آمَنَ (verb) — believe; have faith,Different vocalization (المُؤَمِّن): insurer.
المهيمن,"The Supreme Overseer, Guardian, and Witness whose authority and knowledge encompass all things.",controller,هَيْمَنَ عَلَى (verb) — oversee; dominate,
الواحد,The One without partner in divinity. It is not merely numerical oneness; it denies any partner or division in worship and lordship.,one,وَحْدَة (noun) — unity; unit,
الأحد,"The Uniquely One, indivisible and without equal. In creed, it expresses absolute uniqueness rather than numerical oneness alone.",one,,
الصمد,The Self-Sufficient Master upon whom all creation depends. No single English word fully captures both perfect independence and universal dependence upon Him.,eternal,,
الملة,"A divinely grounded religious way or confessional tradition. It denotes the inherited or followed way of faith, especially the creed of Abraham.",religion,,
الذمة,"A binding responsibility, legal liability, or protected covenantal status. The exact sense can be obligation, protection, or guarantee depending on context.",conscience,,
الولاء,"Faithful allegiance, protective loyalty, and committed solidarity. Its theological and communal sense is stronger and more relational than preference.",loyalty,,
البراء,Disavowal of false worship and principled separation from wrongdoing. It does not simply mean personal innocence.,innocence,,
الغيّ,"Perverse misdirection chosen in opposition to sound guidance. It implies morally blameworthy deviation, not innocent confusion.",error,,
الطاغوت,"Anything worshipped, obeyed, or followed in rebellion against Allah's authority and limits. It can refer to a false deity, satanic authority, tyrannical power, or a claimant to divine rights.",idol,,
الجبْت,"A broad Qur'anic term for false objects of worship, superstition, sorcery, or other forms of religious falsehood. Its exact referent depends on context.",idol,,
الأنداد,"Rivals set up as equals or counterparts to Allah. It stresses treating created things as peers in love, obedience, or worship.",partners,,
الشفعاء,"Intercessors whose mediation is sought or granted. Intercession in Islamic theology is dependent on Allah's permission, not independent influence.",advocates,,
التكليف,"Being charged by divine law with accountable duties. It signifies morally binding religious responsibility, not merely a task.",assignment,كَلَّفَ (verb) — assign; impose a duty | مُكَلَّف (passive participle) — legally responsible; assigned,
علم اليقين,"Certainty reached through reliable knowledge, evidence, or report. It is the first of three Qur'anic expressions describing degrees or modes of certainty.",certain knowledge,,
عين اليقين,"Certainty comparable to direct seeing. It describes immediate experiential confirmation, not a literal ""eye"" belonging to certainty.",eye of certainty,,
حق اليقين,Certainty fully realized through direct encounter with reality. It is the most complete expression in the Qur'anic sequence of certainty.,truth of certainty,,
الشهادة,"Testimony or witnessing; it can also mean the visible, perceptible realm. Context may refer to legal evidence, the confession of faith, martyrdom, or the world of direct perception.",martyrdom,شَهِدَ (verb) — witness; testify | شَاهِد (noun) — witness; observer,Administrative/education context: certificate; formal credential.
التنزيه,"Declaring Allah free of every defect and creaturely limitation. It is a theological act of transcendence, not praise in general.",glorification,نَزَّهَ (verb) — declare free from; exalt above imperfection | مُنَزَّه (adjective) — free from imperfection; transcendent,
التشبيه,"Likening divine attributes to created qualities. It denotes anthropomorphic assimilation, not every analogy.",comparison,شَبَّهَ (verb) — compare; liken | مُشَبِّه (active participle) — one who likens; comparer,
التعطيل,"Denying, emptying, or suspending the meanings of divine attributes. A technical theological term, not ordinary interruption.",disablement,عَطَّلَ (verb) — suspend; disable | مُعَطِّل (active participle) — one who suspends; negator,
التنزيل,The sending down of revelation in stages and with divine authority. It highlights descent from Allah and often gradual delivery.,revelation,نَزَّلَ (verb) — send down; reveal | مُنَزَّل (passive participle) — sent down; revealed,
الفرقان,The divine criterion that separates truth from falsehood. It can name the Qur'an or any decisive divine distinction.,discrimination,,
الهدى,"Guidance that directs toward truth and a sound end. It refers to revelation or divine enabling, not information alone.",directions,,
البصائر,"Clear proofs or insights that illuminate spiritual and moral truth. The plural refers to inward perception and evidence, not physical eyesight.",eyesights,,
المحكم,"A text whose meaning or ruling is firmly established and relatively clear. In Qur'anic studies, definitions vary according to the way it is contrasted with mutashabih.",precise,,Ordinary descriptive context: firmly constructed; well-made.
المتشابه,"A text whose exact meaning, application, or ultimate referent is not immediately decisive. It may require interpretation or humble suspension of judgment and is not necessarily contradictory.",ambiguous,,Ordinary descriptive context: similar; resembling.
الناسخ,"A later ruling or text that replaces the operative legal ruling of an earlier one. The concept concerns legal effect, not denial of the earlier revelation.",abrogating,,
المنسوخ,A ruling whose operative legal force has been replaced by a later ruling. The earlier verse or report remains part of revelation or transmission even when its ruling no longer applies.,cancelled,,
الترتيل,"Measured, clear, and deliberate recitation of the Qur'an. It emphasizes correct articulation, pacing, and reflection rather than musical performance.",chanting,رَتَّلَ (verb) — recite distinctly; recite measuredly | مُرَتِّل (noun) — measured reciter; reciter,
التجويد,"Reciting the Qur'an while giving each letter and recitation rule its proper pronunciation. It concerns disciplined phonetic accuracy, not ornamentation alone.",embellishment,جَوَّدَ (verb) — perfect; improve | مُجَوِّد (noun) — skilled reciter; practitioner of tajwid,
الأحرف,"In the expression ""seven ahruf,"" a technical term for divinely permitted modes of early Qur'anic recitation. Scholars differ about their precise nature, but the word does not mean seven alphabet letters or the seven canonical readings.",letters,,
الرسم,"The inherited consonantal spelling and written form of the Qur'anic codex. It is a technical term for orthography, not drawing.",drawing,,
المصحف,"A physical written codex containing the Qur'anic text. It is the written copy, whereas the Qur'an is the revealed recitation and message.",quran,,
الإسناد,"The chain through which a report or recitation is attributed to its source. It is a formal transmission chain, not ""support"" in the general sense.",support,أَسْنَدَ (verb) — attribute; support | مُسْنَد (passive participle/noun) — attributed; supported,
الرواية,"A transmitted report, narration, or version received through a chain. In Qur'anic recitation, it can mean a formally transmitted recension associated with a reader.",story,,Modern literary context: novel.
العلم,"Knowledge based on sound evidence and understanding. In religious sermons, it often refers to sacred or beneficial knowledge rather than modern science specifically.",knowledge; sacred knowledge,عَلِمَ (verb) — know; learn | عَالِم (noun/adjective) — scholar; knowledgeable,Different vocalization (العَلَم): flag; identifying banner.
العبرة,A moral lesson drawn by moving from an event or sign to its deeper meaning. It is more than an example.,example,,Different vocalization (العَبْرَة): tear.
الاعتبار,"Reflective inference that draws a lesson from signs, history, or outcomes. It is not mere attention; it involves moral and analogical reasoning.",consideration,اِعْتَبَرَ (verb) — consider; take into account | مُعْتَبَر (adjective) — recognized; valid,
الفراسة,"Discernment that reads outward signs with trained inward perception. In ethical discourse, it is perceptiveness rather than fortune-telling or certainty about the unseen.",guesswork,,Classical descriptive context: physiognomy; inference from outward signs.
التثبت,"Careful verification before accepting or acting on information. It means checking truth and avoiding haste, especially regarding reports.",steadiness,,
التبين,"Seeking and attaining clarity through verification. In a command, it means to investigate carefully rather than merely notice.",becoming clear,,
الإفتاء,Issuing a reasoned religious legal answer to a particular question. It is nonjudicial guidance based on recognized legal method.,giving an opinion,أَفْتَى (verb) — issue a legal opinion; give a fatwa | مُفْتٍ (noun) — mufti; legal scholar,
النقل,Authoritative transmission of text or report. It contrasts with pure reasoning and refers to transmitted evidence.,transport,,
الاستدلال,"Reasoning from evidence to a warranted conclusion. A technical scholarly process, not rhetorical persuasion.",inference,اِسْتَدَلَّ (verb) — infer; adduce evidence | مُسْتَدِلّ (active participle) — reasoner; one adducing evidence,
المصدِّق,"A person who sincerely affirms and confirms the truth. In faith contexts, the word suggests inward acceptance that leads to truthful response.",confirmer,,
المتقّي,"A person who protects themselves from Allah's displeasure through vigilant obedience and avoidance of sin. ""Pious"" is only a partial equivalent.",pious person,,
الرباني,"A God-oriented scholar and educator who combines knowledge, wisdom, and gradual spiritual formation of others.",divine person,,
المخبت,"A person humbly settled, tranquil, and receptive before Allah. It combines lowliness, trust, and willing obedience.",humble,,
الأواب,"One who repeatedly returns to Allah in repentance and devotion. It suggests frequent, heartfelt returning, not a single apology.",repentant,,
المنيب,One who turns back to Allah with reliance and obedient devotion. It is a sustained orientation toward Allah.,penitent,,
الذاكر,"One who actively remembers and mentions Allah. It includes heart, tongue, awareness, and obedience.",rememberer,,
المتوكل,One who relies upon Allah while taking legitimate means. It combines heart-reliance with responsible action.,fatalistic,,
الإنابة,Continual turning of the heart and conduct back to Allah. It is broader than repentance from a specific sin and describes an enduring devotional orientation.,repentance,,
الإخبات,"Humble, tranquil submission and inward settling before Allah. The word evokes low, stable ground as an image of a settled heart.",humility,أَخْبَتَ (verb) — humble oneself; submit | مُخْبِت (adjective) — humble; devout,
المراقبة,"Living with sustained awareness that Allah observes and knows all things. It is a spiritual practice of accountability, not surveillance of other people.",monitoring,رَاقَبَ (verb) — watch; observe | مُرَاقِب (noun/adjective) — observer; watchful,
المحاسبة,"Examining and holding oneself accountable before final judgment. It means moral self-audit, not bookkeeping.",accounting,حَاسَبَ (verb) — hold accountable; audit | مُحَاسِب (noun) — accountant; auditor,
